Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Sahastradhara,7800,9500.0,Male,Yes,No,No,Medical Shops,Sahastradhara 7800 9500.0 Male Yes No No Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12000,4100.0,Male,Yes,Yes,Yes,"Restaurants, Gym, Transportation, Medical Shops, Grocery Stores",Lane No 2C Post Office Road Clement Town Dehradun 12000 4100.0 Male Yes Yes Yes Restaurants Gym Transportation Medical Shops Grocery Stores
St Mary Church,3100,4400.0,Male,Yes,No,No,"Restaurants, Transportation, Gym, Medical Shops",St Mary Church 3100 4400.0 Male Yes No No Restaurants Transportation Gym Medical Shops
Jaligaon,5300,7500.0,Male,Yes,No,Yes,Gym,Jaligaon 5300 7500.0 Male Yes No Yes Gym
Sahastradhara,11000,9500.0,Female,Yes,Yes,No,"Restaurants, Gym",Sahastradhara 11000 9500.0 Female Yes Yes No Restaurants Gym
Bharuwala colony,6700,6200.0,Female,Yes,Yes,Yes,"Transportation, Gym, Grocery Stores, Restaurants, Medical Shops",Bharuwala colony 6700 6200.0 Female Yes Yes Yes Transportation Gym Grocery Stores Restaurants Medical Shops
"Lane-1, Clement Town",4600,2800.0,Male,No,Yes,No,Gym,Lane-1 Clement Town 4600 2800.0 Male No Yes No Gym
Gurn Nanak Road,4800,5000.0,Female,Yes,No,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",Gurn Nanak Road 4800 5000.0 Female Yes No Yes Medical Shops Transportation Gym Grocery Stores Restaurants
Mohabbewala,6900,8200.0,Male,No,No,No,Transportation,Mohabbewala 6900 8200.0 Male No No No Transportation
Tibetan Colony,10000,6800.0,Male,No,Yes,Yes,"Grocery Stores, Gym",Tibetan Colony 10000 6800.0 Male No Yes Yes Grocery Stores Gym
"Lane-2, Clement Town",11400,2900.0,Female,Yes,Yes,Yes,"Restaurants, Gym, Grocery Stores",Lane-2 Clement Town 11400 2900.0 Female Yes Yes Yes Restaurants Gym Grocery Stores
ISBT Road,6500,3300.0,Female,No,No,No,Restaurants,ISBT Road 6500 3300.0 Female No No No Restaurants
Sahastradhara,11700,9500.0,Female,No,Yes,Yes,"Transportation, Medical Shops",Sahastradhara 11700 9500.0 Female No Yes Yes Transportation Medical Shops
Clement Town,8600,2700.0,Male,No,No,No,Transportation,Clement Town 8600 2700.0 Male No No No Transportation
Shubhash Nagar,11600,5400.0,Male,No,Yes,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores",Shubhash Nagar 11600 5400.0 Male No Yes Yes Transportation Medical Shops Restaurants Grocery Stores
"Lane-4, Clement Town",3800,3500.0,Male,Yes,No,Yes,"Restaurants, Transportation",Lane-4 Clement Town 3800 3500.0 Male Yes No Yes Restaurants Transportation
ISBT Road,12000,3300.0,Male,Yes,Yes,No,"Transportation, Gym",ISBT Road 12000 3300.0 Male Yes Yes No Transportation Gym
Subhash Nagar,9700,5000.0,Female,Yes,Yes,No,"Medical Shops, Gym, Grocery Stores, Transportation",Subhash Nagar 9700 5000.0 Female Yes Yes No Medical Shops Gym Grocery Stores Transportation
"Clement Town, Post Office Road, Lane No 10",5200,4000.0,Female,Yes,No,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores",Clement Town Post Office Road Lane No 10 5200 4000.0 Female Yes No Yes Gym Transportation Restaurants Medical Shops Grocery Stores
Tibetan Colony,6800,6800.0,Female,No,No,Yes,Restaurants,Tibetan Colony 6800 6800.0 Female No No Yes Restaurants
Air Force Colony,3700,6000.0,Male,Yes,Yes,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation",Air Force Colony 3700 6000.0 Male Yes Yes No Gym Grocery Stores Medical Shops Restaurants Transportation
Bell Road,8700,5800.0,Female,Yes,No,No,"Transportation, Grocery Stores, Gym",Bell Road 8700 5800.0 Female Yes No No Transportation Grocery Stores Gym
"Lane-2, Clement Town",7800,2900.0,Female,No,No,No,"Transportation, Medical Shops, Restaurants",Lane-2 Clement Town 7800 2900.0 Female No No No Transportation Medical Shops Restaurants
Tibetan Colony,4300,6800.0,Female,Yes,Yes,Yes,"Grocery Stores, Gym",Tibetan Colony 4300 6800.0 Female Yes Yes Yes Grocery Stores Gym
"Clement Town, Post Office Road, Lane No 10",12900,4000.0,Male,No,Yes,No,"Restaurants, Gym, Medical Shops, Transportation, Grocery Stores",Clement Town Post Office Road Lane No 10 12900 4000.0 Male No Yes No Restaurants Gym Medical Shops Transportation Grocery Stores
Nehru Marg,10400,5700.0,Male,Yes,Yes,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops, Transportation",Nehru Marg 10400 5700.0 Male Yes Yes Yes Gym Restaurants Grocery Stores Medical Shops Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12100,4100.0,Male,Yes,Yes,Yes,"Transportation, Grocery Stores, Gym",Lane No 2C Post Office Road Clement Town Dehradun 12100 4100.0 Male Yes Yes Yes Transportation Grocery Stores Gym
"Lane-3, Clement Town",4600,3300.0,Male,No,Yes,Yes,"Restaurants, Medical Shops, Gym",Lane-3 Clement Town 4600 3300.0 Male No Yes Yes Restaurants Medical Shops Gym
Tibetan Colony,7000,6800.0,Male,No,Yes,Yes,Grocery Stores,Tibetan Colony 7000 6800.0 Male No Yes Yes Grocery Stores
"Clement Town, Post Office Road, Lane No 10",6300,4000.0,Female,No,No,No,"Medical Shops, Gym",Clement Town Post Office Road Lane No 10 6300 4000.0 Female No No No Medical Shops Gym
"Clement Town, Post Office Road, Lane No 10",9500,4000.0,Female,No,Yes,No,"Medical Shops, Transportation, Restaurants, Gym",Clement Town Post Office Road Lane No 10 9500 4000.0 Female No Yes No Medical Shops Transportation Restaurants Gym
Mohabbewala,11300,8200.0,Female,No,Yes,No,Medical Shops,Mohabbewala 11300 8200.0 Female No Yes No Medical Shops
"Lane-4, Clement Town",5300,3500.0,Male,Yes,No,No,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops",Lane-4 Clement Town 5300 3500.0 Male Yes No No Transportation Restaurants Gym Grocery Stores Medical Shops
Shubhash Nagar,8200,5400.0,Male,No,No,No,"Medical Shops, Grocery Stores",Shubhash Nagar 8200 5400.0 Male No No No Medical Shops Grocery Stores
"Clement Town, Post Office Road, Lane No 10",5400,4000.0,Female,Yes,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 5400 4000.0 Female Yes Yes Yes Medical Shops Restaurants Gym Grocery Stores Transportation
"Lane-4, Clement Town",6700,3500.0,Male,Yes,No,No,"Restaurants, Gym, Grocery Stores",Lane-4 Clement Town 6700 3500.0 Male Yes No No Restaurants Gym Grocery Stores
Morowala,8400,7000.0,Female,Yes,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",Morowala 8400 7000.0 Female Yes No Yes Grocery Stores Restaurants Medical Shops Transportation Gym
Bell Road,6200,5800.0,Male,No,No,Yes,"Transportation, Restaurants",Bell Road 6200 5800.0 Male No No Yes Transportation Restaurants
"Lane-1, Clement Town",11100,2800.0,Female,Yes,Yes,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym",Lane-1 Clement Town 11100 2800.0 Female Yes Yes No Medical Shops Transportation Restaurants Grocery Stores Gym
"Lane-2, Clement Town",9500,2900.0,Female,Yes,Yes,No,"Restaurants, Medical Shops, Grocery Stores, Transportation, Gym",Lane-2 Clement Town 9500 2900.0 Female Yes Yes No Restaurants Medical Shops Grocery Stores Transportation Gym
Shubhash Nagar,10900,5400.0,Female,No,No,Yes,"Restaurants, Gym, Medical Shops, Grocery Stores",Shubhash Nagar 10900 5400.0 Female No No Yes Restaurants Gym Medical Shops Grocery Stores
Manav Kendra,9500,3900.0,Female,Yes,No,No,"Gym, Medical Shops, Grocery Stores, Transportation",Manav Kendra 9500 3900.0 Female Yes No No Gym Medical Shops Grocery Stores Transportation
St Mary Church,9800,4400.0,Female,No,Yes,No,Grocery Stores,St Mary Church 9800 4400.0 Female No Yes No Grocery Stores
"Lane-10, Post Office Road",6100,4200.0,Female,No,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops",Lane-10 Post Office Road 6100 4200.0 Female No No No Restaurants Transportation Gym Grocery Stores Medical Shops
"Lane-2, Clement Town",5300,2900.0,Male,No,No,Yes,"Gym, Transportation",Lane-2 Clement Town 5300 2900.0 Male No No Yes Gym Transportation
Pant Road,12100,6400.0,Female,No,No,No,"Restaurants, Grocery Stores",Pant Road 12100 6400.0 Female No No No Restaurants Grocery Stores
"Lane-1, Clement Town",10200,2800.0,Male,No,No,Yes,"Grocery Stores, Medical Shops",Lane-1 Clement Town 10200 2800.0 Male No No Yes Grocery Stores Medical Shops
Bell Road,7600,5800.0,Female,Yes,No,Yes,Gym,Bell Road 7600 5800.0 Female Yes No Yes Gym
