Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
Sahastradhara,7810,9.5,Male,Yes,,No,No,Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12047,4.1,Male,Yes,,Yes,Yes,"Restaurants, Gym, Transportation, Medical Shops, Grocery Stores"
St Mary Church,3086,4.4,Male,Yes,,No,No,"Restaurants, Transportation, Gym, Medical Shops"
Jaligaon,5321,7.5,Male,Yes,,No,Yes,Gym
Sahastradhara,11031,9.5,Female,Yes,,Yes,No,"Restaurants, Gym"
Bharuwala colony,6671,6.2,Female,Yes,,Yes,Yes,"Transportation, Gym, Grocery Stores, Restaurants, Medical Shops"
"Lane-1, Clement Town",4550,2.8,Male,No,,Yes,No,Gym
Gurn Nanak Road,4826,5.0,Female,Yes,,No,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants"
Mohabbewala,6871,8.2,Male,No,,No,No,Transportation
Tibetan Colony,9998,6.8,Male,No,,Yes,Yes,"Grocery Stores, Gym"
"Lane-2, Clement Town",11445,2.9,Female,Yes,,Yes,Yes,"Restaurants, Gym, Grocery Stores"
ISBT Road,6462,3.3,Female,No,,No,No,Restaurants
Sahastradhara,11687,9.5,Female,No,,Yes,Yes,"Transportation, Medical Shops"
Clement Town,8598,2.7,Male,No,,No,No,Transportation
Shubhash Nagar,11597,5.4,Male,No,,Yes,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores"
"Lane-4, Clement Town",3839,3.5,Male,Yes,,No,Yes,"Restaurants, Transportation"
ISBT Road,12021,3.3,Male,Yes,,Yes,No,"Transportation, Gym"
Subhash Nagar,9730,5.0,Female,Yes,,Yes,No,"Medical Shops, Gym, Grocery Stores, Transportation"
"Clement Town, Post Office Road, Lane No 10",5169,4.0,Female,Yes,,No,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
Tibetan Colony,6802,6.8,Female,No,,No,Yes,Restaurants
Air Force Colony,3682,6.0,Male,Yes,,Yes,No,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation"
Bell Road,8681,5.8,Female,Yes,,No,No,"Transportation, Grocery Stores, Gym"
"Lane-2, Clement Town",7848,2.9,Female,No,,No,No,"Transportation, Medical Shops, Restaurants"
Tibetan Colony,4320,6.8,Female,Yes,,Yes,Yes,"Grocery Stores, Gym"
"Clement Town, Post Office Road, Lane No 10",12933,4.0,Male,No,,Yes,No,"Restaurants, Gym, Medical Shops, Transportation, Grocery Stores"
Nehru Marg,10390,5.7,Male,Yes,,Yes,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12067,4.1,Male,Yes,,Yes,Yes,"Transportation, Grocery Stores, Gym"
"Lane-3, Clement Town",4620,3.3,Male,No,,Yes,Yes,"Restaurants, Medical Shops, Gym"
Tibetan Colony,7045,6.8,Male,No,,Yes,Yes,Grocery Stores
"Clement Town, Post Office Road, Lane No 10",6320,4.0,Female,No,,No,No,"Medical Shops, Gym"
"Clement Town, Post Office Road, Lane No 10",9493,4.0,Female,No,,Yes,No,"Medical Shops, Transportation, Restaurants, Gym"
Mohabbewala,11326,8.2,Female,No,,Yes,No,Medical Shops
"Lane-4, Clement Town",5318,3.5,Male,Yes,,No,No,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
Shubhash Nagar,8176,5.4,Male,No,,No,No,"Medical Shops, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",5372,4.0,Female,Yes,,Yes,Yes,"Medical Shops, Restaurants, Gym, Grocery Stores, Transportation"
"Lane-4, Clement Town",6709,3.5,Male,Yes,,No,No,"Restaurants, Gym, Grocery Stores"
Morowala,8373,7.0,Female,Yes,,No,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym"
Bell Road,6210,5.8,Male,No,,No,Yes,"Transportation, Restaurants"
"Lane-1, Clement Town",11086,2.8,Female,Yes,,Yes,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym"
"Lane-2, Clement Town",9542,2.9,Female,Yes,,Yes,No,"Restaurants, Medical Shops, Grocery Stores, Transportation, Gym"
Shubhash Nagar,10925,5.4,Female,No,,No,Yes,"Restaurants, Gym, Medical Shops, Grocery Stores"
Manav Kendra,9488,3.9,Female,Yes,,No,No,"Gym, Medical Shops, Grocery Stores, Transportation"
St Mary Church,9796,4.4,Female,No,,Yes,No,Grocery Stores
"Lane-10, Post Office Road",6062,4.2,Female,No,,No,No,"Restaurants, Transportation, Gym, Grocery Stores, Medical Shops"
"Lane-2, Clement Town",5329,2.9,Male,No,,No,Yes,"Gym, Transportation"
Pant Road,12084,6.4,Female,No,,No,No,"Restaurants, Grocery Stores"
"Lane-1, Clement Town",10202,2.8,Male,No,,No,Yes,"Grocery Stores, Medical Shops"
Bell Road,7611,5.8,Female,Yes,,No,Yes,Gym
"Lane-1, Clement Town",12769,2.8,Female,No,,Yes,No,Grocery Stores
ISBT Road,10353,3.3,Female,Yes,,Yes,Yes,"Medical Shops, Transportation"
Pant Road,8279,6.4,Male,Yes,,No,No,"Restaurants, Transportation"
"Clement Town, Post Office Road, Lane No 10",5332,4.0,Male,Yes,,No,Yes,"Gym, Medical Shops"
Tibetan Colony,7433,6.8,Male,Yes,,No,Yes,"Restaurants, Medical Shops, Transportation"
"Lane-10, Post Office Road",9953,4.2,Male,Yes,,Yes,No,"Grocery Stores, Gym, Medical Shops, Transportation"
Mohabbewala,4380,8.2,Female,No,,No,Yes,"Medical Shops, Restaurants, Gym"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5275,4.1,Female,Yes,,No,No,"Gym, Restaurants, Transportation, Medical Shops"
Air Force Colony,6731,6.0,Female,Yes,,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants"
Manav Kendra,9467,3.9,Male,No,,No,No,"Gym, Grocery Stores, Restaurants, Medical Shops"
Nehru Marg,4845,5.7,Male,Yes,,No,No,"Restaurants, Grocery Stores"
Morowala,7645,7.0,Male,Yes,,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym"
"Lane-2, Clement Town",11790,2.9,Female,Yes,,No,Yes,"Transportation, Restaurants, Medical Shops, Grocery Stores"
Subhash Nagar,11164,5.0,Male,Yes,,Yes,Yes,Medical Shops
Jaligaon,4654,7.5,Female,Yes,,Yes,No,"Restaurants, Transportation, Medical Shops"
Clement Town,12738,2.7,Female,No,,No,Yes,"Restaurants, Gym, Transportation"
"Lane-10, Post Office Road",6276,4.2,Female,No,,No,Yes,"Restaurants, Transportation, Medical Shops, Gym"
Bharuwala colony,7393,6.2,Male,Yes,,Yes,Yes,Restaurants
"Lane-10, Post Office Road",4375,4.2,Female,Yes,,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",10976,4.1,Female,No,,Yes,No,Medical Shops
Gurn Nanak Road,3761,5.0,Male,No,,Yes,Yes,"Gym, Medical Shops, Transportation, Grocery Stores, Restaurants"
Morowala,3772,7.0,Female,Yes,,Yes,Yes,"Medical Shops, Transportation, Gym"
"Lane-4, Clement Town",5288,3.5,Female,Yes,,Yes,Yes,"Gym, Medical Shops, Restaurants, Grocery Stores, Transportation"
"Lane-2, Clement Town",10247,2.9,Male,Yes,,Yes,Yes,"Restaurants, Medical Shops, Gym"
Nehru Marg,9767,5.7,Female,Yes,,No,Yes,"Restaurants, Transportation, Grocery Stores, Medical Shops"
"Lane-4, Clement Town",7507,3.5,Male,Yes,,Yes,Yes,"Gym, Grocery Stores"
Air Force Colony,8490,6.0,Female,No,,Yes,No,"Medical Shops, Grocery Stores, Transportation, Restaurants"
Bell Road,10261,5.8,Female,No,,No,No,Gym
Air Force Colony,4128,6.0,Female,Yes,,No,Yes,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
GK army Pre Primary School,9810,4.6,Female,No,,No,No,"Medical Shops, Restaurants, Transportation"
Bharuwala colony,12693,6.2,Female,Yes,,Yes,Yes,Transportation
